Episode,Score
116,-43.32680649107671
117,-121.89111374013038
118,0.5214582551115399
119,-87.35429229215771
120,-13.606035754161127
121,-79.10975662390192
122,-55.528977274583305
123,-170.10476933899128
124,-89.8943674748805
125,-100.5771064678379
126,-46.97182534567725
127,-0.7678995244663867
128,-131.16570975815853
129,-73.9616061279288
130,-254.62561494839403
131,-28.17316588379687
132,-8.564873866333102
133,-42.17909732115851
134,-48.26900936622906
135,-52.47709031962762
136,-169.57601562817013
137,-124.61923502261423
138,46.74620003620444
139,-43.824788342939705
140,-21.797266965543017
141,-4.063651520298123
142,-40.750703005460934
143,-97.60115146051439
144,-160.50784379823523
145,-61.109820002416164
146,-262.3723366691238
147,-31.885438214373607
148,10.220021078624342
149,-66.25910283077836
150,8.540032295398206
151,-218.71002219643276
152,-88.0171214048515
153,-189.77173740521943
154,-24.983931510469517
155,-87.71799126749727
156,-232.59605312047907
157,-6.553774792835412
158,-55.521285835773924
159,-163.22218042113357
160,-81.7787030553132
161,-45.037465926481445
162,-21.13475488498291
163,-11.478417672668044
164,-58.84572260814748
165,-162.6354750789547
166,-30.9503199465761
167,-90.9970828682838
168,-81.2699379651218
169,-88.52851002506796
170,-76.5068466359351
171,62.855038598302286
172,12.65130510153962
173,-18.296576213883142
174,22.213918461529083
175,3.4356658929551145
176,111.28335985442325
177,-112.16608264257147
178,-56.86859688892271
179,-64.08047690412036
180,-220.2969579953123
181,67.2134774636349
182,-118.72003763718354
183,-184.10400704400882
184,-84.89584031490755
185,-189.86736167780805
186,68.23116727907791
187,-36.208383546585225
188,-55.70786723646718
189,-84.0786339821997
190,-52.347169968218566
191,-70.86809906284317
192,-67.10892728131742
193,-264.38152093608267
194,-219.6392452670346
195,-11.374919312305522
196,8.611435307026127
197,-5.421037993024754
198,-28.07693514149864
199,-13.19706566957278
200,-88.45955865873148
201,-173.6826503971068
202,-13.86389856214717
203,-28.65291247659168
204,70.21893350371028
205,-249.92421392744765
206,66.48354115056831
207,5.45109764320722
208,-86.97144374562868
209,-107.59829712828535
210,-7.187696452517855
211,-65.58539981897263
212,-48.5902756579618
213,15.673394394272535
214,-2.646537663583235
215,-42.033694005406616
216,-96.38705918989348
217,27.529916808949608
218,-9.200544273990332
219,-38.518308389047995
220,-13.396054652150667
221,-20.59767323924042
222,-10.513935378548396
223,-30.129044081637257
224,-129.92680040048037
225,-254.10909971667232
226,-105.77313239413994
227,-3.9179167519265548
228,-136.08918899525523
229,16.066470585768847
230,14.589235181153896
231,-26.16443951532549
232,46.57039689791873
233,-29.438688323517248
234,-214.9154258021884
235,-49.374684461363046
236,-251.36317804918727
237,-49.261767978188445
238,-10.150866961432612
239,13.86129605488153
240,22.494063210073797
241,-1.7635488661504013
242,-67.73810182799538
243,-48.45056629649881
244,-20.78011923313321
245,-90.59966975537965
246,19.41454598334411
247,4.547625668223702
248,-20.97780601409377
249,39.86608984610331
250,23.190353413781196
251,37.343671861471464
252,-23.556979884479983
253,24.123607647837744
254,-40.10942741721459
255,-27.70759297905559
256,-109.73040489093887
257,37.73518833794216
258,-2.7968105373056877
259,-26.84698720590221
260,-23.77386918425533
261,15.41371597795951
262,-155.5734499105289
263,20.901932621755176
264,20.808922871088562
265,-10.521064495206332
266,-35.19858661426462
267,-3.9289481359184455
268,78.46906368864055
269,35.02683267640057
270,-126.25175664948087
271,40.13238688499901
272,67.86720894295699
273,30.77491807732822
274,121.89447891514968
275,45.879526605164266
276,-42.874032938068126
277,158.96923866084637
278,63.59917941881342
279,70.63078875139807
280,128.8892019813705
281,84.12113041986267
282,79.29966682479993
283,56.29304125994609
284,82.48825745951768
285,131.73097451903405
286,74.3701823890191
287,121.40481616500477
288,97.14207606347172
289,127.10233822142797
290,40.07751519699921
291,98.57139545528162
292,235.69141960125717
293,89.94382675966153
294,151.85043562546045
295,104.1609204477881
296,133.1823967754495
297,228.4118686690687
298,-92.75477652967454
299,136.45604084671467
300,101.07807255463555
301,148.0246350961536
302,186.22406937789665
303,167.27455659780316
304,168.90353121325188
305,96.07992935908422
306,158.3630630461178
307,280.89914157755226
308,87.46259785033456
309,132.15712234053498
310,141.9798464521765
311,222.8356415655253
312,284.89438671348285
313,112.85745830823116
314,225.56230642325778
315,59.44785502051408
316,94.41083005069444
317,217.73970683659002
318,74.40943811486063
319,55.268694886702264
320,103.86886984545256
321,252.64959555319817
322,213.48789751311685
323,99.37745106583387
324,31.669525405461393
325,253.40500765222697
326,167.21034238427956
327,123.99263458496226
328,6.868698059949308
329,177.42167720382753
330,55.01028162299307
331,103.12332966034866
332,92.54585200723423
333,69.40862461343495
334,136.30596915109854
335,-4.243903805286952
336,250.74786226031222
337,105.12783202283417
338,133.17914142315203
339,256.62137296825495
340,241.98266584935178
341,230.92671756156702
342,55.23415057132826
343,25.52871246653163
344,88.63398915312163
345,219.2975813730704
346,230.6811285284588
347,-72.3423384817954
348,-14.569246461879288
349,53.29204027454333
350,258.71052584673714
351,112.34121395602904
352,11.847876486846285
353,229.45086255733486
354,95.20385926143436
355,-50.13918137037108
356,227.4055973490978
357,197.97802400708946
358,250.30896306700313
359,-22.08026139554714
360,198.50963468692555
361,33.717926133535855
362,190.71584755847297
363,242.89858618892004
364,-11.55222948409154
365,98.04302923102524
366,192.37474366686823
367,229.54392954850024
368,230.3315801888175
369,138.3047782248357
370,289.53629894569974
371,260.7351294811805
372,175.6597507756245
373,259.1612586959111
374,189.90041577878844
375,27.337167558878235
376,232.26566185215913
377,262.3737448924503
378,222.5235506769524
379,243.9042753223524
380,275.46973484361115
381,248.98661449406836
382,147.6075441217258
383,69.33138498073079
384,-27.524679919674952
385,220.28996234725008
386,106.795944775469
387,224.97685355826866
388,264.3864094869481
389,137.04145140580675
390,232.03995445212777
391,225.09490540772288
392,228.08186476268116
393,71.11087414061124
394,238.71370939917415
395,220.23517320191928
396,184.41508846167102
397,241.5667732965877
398,239.7897203180819
399,241.08175641182171
400,127.98402407291107
401,76.28432528750427
402,194.3728108947569
403,234.5385368464997
404,224.04397716951138
405,215.06470795332663
406,264.7814656470806
407,243.63873773750453
408,273.9510966517198
409,-203.53490283988288
410,235.84375884509717
411,207.5761091424415
412,111.37878162155923
413,301.54942072062886
414,273.458211432178
415,251.98890116989395
416,182.24871413615205
417,252.14604472077363
418,101.77425064575408
419,228.3949802250463
420,256.98514077386227
421,238.70666306276837
422,251.84340664923704
423,260.95211635496173
424,261.6402941431909
425,73.02665433196903
426,286.6335727401561
427,217.0154974313266
428,225.72430134487462
429,264.8304902695579
430,226.91287421804844
431,200.77611726711763
432,235.14680426944847
433,211.91905287634268
434,289.3560405029444
435,244.57871467511671
436,288.8396091287375
437,213.52960805677756
438,283.41610483693967
439,225.4346502644486
440,80.25043773814237
441,11.242768280272145
442,263.6512845144176
443,237.03419618739412
444,220.7225286365536
445,258.9177979837639
446,211.1032099698549
447,272.60164234964793
448,20.957324298795285
449,252.9964288227559
450,206.67045848747873
451,196.5314431372842
452,274.8451130435832
453,152.65450349250887
454,250.09798172647135
455,254.62225876526534
456,206.2654766402159
457,268.1850736421909
458,39.99061788831898
459,268.1356538560009
460,219.31848840601876
